scene,vehicle_id,interval_id,frame_start,frame_end,frame_count,support_type,identity_status,body_complete_status,boundary_status,occlusion_status,bbox_semantics,source_provenance,auto_priority,human_review_status,human_note
GM_RM011,GM_RM011:PV001,GM_RM011:PV001:CI01,5,5,1,CONTIGUOUS_FULL_VISIBLE_STATE_ROWS,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,PRODUCER_FULL_VISIBLE_PROXY,BOUNDARY_CONTACT_OR_UNKNOWN,UNKNOWN_DIRECT_REVIEW_REQUIRED,REFERENCE_BOX_PRESENT;PROVENANCE_RETAINED,existing_yolo26l_detection,LOW,REVIEW_REQUIRED,
GM_RM011,GM_RM011:PV003,GM_RM011:PV003:CI01,41,43,3,CONTIGUOUS_FULL_VISIBLE_STATE_ROWS,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,PRODUCER_FULL_VISIBLE_PROXY,BOUNDARY_CONTACT_OR_UNKNOWN,UNKNOWN_DIRECT_REVIEW_REQUIRED,REFERENCE_BOX_PRESENT;PROVENANCE_RETAINED,existing_yolo26l_detection,LOW,REVIEW_REQUIRED,
GM_RM011,GM_RM011:PV003,GM_RM011:PV003:CI02,45,46,2,CONTIGUOUS_FULL_VISIBLE_STATE_ROWS,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,PRODUCER_FULL_VISIBLE_PROXY,BOUNDARY_CONTACT_OR_UNKNOWN,UNKNOWN_DIRECT_REVIEW_REQUIRED,REFERENCE_BOX_PRESENT;PROVENANCE_RETAINED,existing_yolo26l_detection,LOW,REVIEW_REQUIRED,
GM_RM011,GM_RM011:PV004,GM_RM011:PV004:CI01,55,56,2,CONTIGUOUS_FULL_VISIBLE_STATE_ROWS,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,PRODUCER_FULL_VISIBLE_PROXY,INTERIOR_BBOX_PROXY,UNKNOWN_DIRECT_REVIEW_REQUIRED,REFERENCE_BOX_PRESENT;PROVENANCE_RETAINED,existing_yolo26l_detection,LOW,REVIEW_REQUIRED,
GM_RM011,GM_RM011:PV004,GM_RM011:PV004:CI02,58,58,1,CONTIGUOUS_FULL_VISIBLE_STATE_ROWS,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,PRODUCER_FULL_VISIBLE_PROXY,INTERIOR_BBOX_PROXY,UNKNOWN_DIRECT_REVIEW_REQUIRED,REFERENCE_BOX_PRESENT;PROVENANCE_RETAINED,existing_yolo26l_detection,LOW,REVIEW_REQUIRED,
GM_RM011,GM_RM011:PV006,GM_RM011:PV006:CI01,122,126,5,CONTIGUOUS_FULL_VISIBLE_STATE_ROWS,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,PRODUCER_FULL_VISIBLE_PROXY,BOUNDARY_CONTACT_OR_UNKNOWN,UNKNOWN_DIRECT_REVIEW_REQUIRED,REFERENCE_BOX_PRESENT;PROVENANCE_RETAINED,existing_yolo11l_detection;existing_yolo26l_detection,LOW,REVIEW_REQUIRED,
GM_RM011,GM_RM011:PV009,GM_RM011:PV009:CI01,167,167,1,CONTIGUOUS_FULL_VISIBLE_STATE_ROWS,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,PRODUCER_FULL_VISIBLE_PROXY,INTERIOR_BBOX_PROXY,UNKNOWN_DIRECT_REVIEW_REQUIRED,REFERENCE_BOX_PRESENT;PROVENANCE_RETAINED,existing_yolo11l_detection,LOW,REVIEW_REQUIRED,
GM_RM011,GM_RM011:PV011,GM_RM011:PV011:CI01,253,253,1,CONTIGUOUS_FULL_VISIBLE_STATE_ROWS,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,PRODUCER_FULL_VISIBLE_PROXY,BOUNDARY_CONTACT_OR_UNKNOWN,UNKNOWN_DIRECT_REVIEW_REQUIRED,REFERENCE_BOX_PRESENT;PROVENANCE_RETAINED,existing_yolo26l_detection,LOW,REVIEW_REQUIRED,
GM_RM011,GM_RM011:PV012,GM_RM011:PV012:CI01,272,272,1,CONTIGUOUS_FULL_VISIBLE_STATE_ROWS,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,PRODUCER_FULL_VISIBLE_PROXY,BOUNDARY_CONTACT_OR_UNKNOWN,UNKNOWN_DIRECT_REVIEW_REQUIRED,REFERENCE_BOX_PRESENT;PROVENANCE_RETAINED,existing_yolo26l_detection,LOW,REVIEW_REQUIRED,
GM_RM011,GM_RM011:PV012,GM_RM011:PV012:CI02,281,281,1,CONTIGUOUS_FULL_VISIBLE_STATE_ROWS,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,PRODUCER_FULL_VISIBLE_PROXY,INTERIOR_BBOX_PROXY,UNKNOWN_DIRECT_REVIEW_REQUIRED,REFERENCE_BOX_PRESENT;PROVENANCE_RETAINED,existing_yolo26l_detection,LOW,REVIEW_REQUIRED,
